module;constant;value_expression;category;provenance;confidence;justification;source;line
Geometry.ts;BORE;0.086;Constructeur / public;Toyota ST205 : 86,0 mm;Haute;Alésage constructeur.;Toyota official ST205 specifications;4
Geometry.ts;STROKE;0.086;Constructeur / public;Toyota ST205 : 86,0 mm;Haute;Course constructeur.;Toyota official ST205 specifications;5
Geometry.ts;ROD_LENGTH;0.138;Estimation géométrique;Estimation de travail du projet;Moyenne;"Longueur de bielle non établie par une source primaire dans le projet ; valeur plausible utilisée pour la cinématique.";À sourcer si une donnée primaire devient disponible;6
Geometry.ts;CRANK_RADIUS;STROKE / 2;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;7
Geometry.ts;COMP_RATIO;8.5;Constructeur / public;Toyota ST205 : 8,5:1;Haute;Rapport volumétrique constructeur.;Toyota official ST205 specifications;8
Geometry.ts;SWEPT_VOLUME;(Math.PI * Math.pow(BORE, 2) * STROKE) / 4;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle. Commentaire code : Cylindrée unitaire (Vd) : Volume balayé par un seul piston;Dérivation code;14
Geometry.ts;CLEARANCE_VOLUME;SWEPT_VOLUME / (COMP_RATIO - 1);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle. Commentaire code : Volume mort (Vc) : Volume restant quand le piston est tout en haut (PMH);Dérivation code;17
Geometry.ts;PISTON_AREA;Math.PI*BORE*BORE/4;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;20
Geometry.ts;CYLINDER_OFFSETS;[ 0, 3 * Math.PI, Math.PI, 2 * Math.PI ];Architecture / dérivée;Ordre d’allumage 1-3-4-2 retenu par le modèle;Moyenne à haute;Déphasages dérivés de l’ordre d’allumage quatre temps. L’ordre est traité comme donnée publique du 3S-GTE, mais une source primaire dédiée reste à joindre au dépôt. Commentaire code : Déphasages physiques pour l'ordre d'allumage 1-3-4-2 (en radians sur un cycle de 4*PI) Centralisé ici : c'était dupliqué dans Engine.js (x2) et Thermodynamics.js — un seul endroit à changer si l'ordre d'allumage évolue un jour.;Donnée publique à consolider + dérivation projet;25
IntakeManifold.js;DEFAULT_UPSTREAM_PRESSURE;101325;Condition de référence;Atmosphère standard de secours : 101 325 Pa;Haute;"Repli avant initialisation du turbo ou lorsque le turbo est désactivé ; ce n’est pas une caractéristique moteur. Commentaire code : L'amont réel du papillon est désormais le volume de suralimentation géré par Turbocharger.js. Ces valeurs servent uniquement de repli avant son premier pas d'initialisation ou si le module turbo est volontairement désactivé.";Condition ambiante de simulation;38
IntakeManifold.js;DEFAULT_UPSTREAM_TEMPERATURE;293;Condition de référence;Ambiante de secours : 293 K (~20 °C);Haute;Repli thermique avant initialisation du turbo ou lorsque le turbo est désactivé.;Condition ambiante de simulation;39
IntakeManifold.js;INTAKE_MANIFOLD_VOLUME;0.0030;Estimation / calibration;Volume 0D équivalent choisi;Moyenne;"Volume équivalent plénum + conduits ; le commentaire du code le présente comme calibration initiale de 3 L. Commentaire code : Volume 0D équivalent du plénum et des conduits jusqu'aux soupapes. Valeur initiale de calibration : 3 litres.";Calibration projet;47
IntakeManifold.js;THROTTLE_DIAMETER;0.060;Estimation géométrique;Valeur de travail 60 mm;Moyenne;Diamètre équivalent du papillon, explicitement décrit comme valeur de travail. Commentaire code : Diamètre équivalent du corps de papillon.;Estimation projet;50
IntakeManifold.js;THROTTLE_MAX_AREA;Math.PI * Math.pow(THROTTLE_DIAMETER, 2) / 4;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;51
IntakeManifold.js;CLOSED_THROTTLE_LEAK_AREA;2e-6;Estimation géométrique;Géométrie équivalente 0D;Moyenne;Géométrie effective de travail, non revendiquée comme mesure constructeur. Commentaire code : Fuite minimale lorsque le papillon et l'actuateur de ralenti sont fermés. Elle représente les jeux mécaniques et empêche un volume parfaitement isolé.;Estimation projet;57
IntakeManifold.js;IDLE_CONTROL_MAX_AREA;34e-6;Estimation géométrique;Géométrie équivalente 0D;Moyenne;Géométrie effective de travail, non revendiquée comme mesure constructeur. Commentaire code : Aire maximale du circuit de dérivation piloté par le correcteur de ralenti. La commande state.idleAirControlCommand varie entre 0 et 1.;Estimation projet;61
IntakeManifold.js;THROTTLE_AREA_EXPONENT;1.70;Calibration admission;Loi commande → aire du papillon;Moyenne;"Exposant effectif choisi pour représenter l’ouverture non linéaire d’un papillon circulaire ; non spécifique Toyota. Commentaire code : Relation non linéaire commande → aire. Une commande de 10 % ne découvre pas 10 % de l'aire maximale d'un vrai papillon circulaire.";Calibration projet;65
IntakeManifold.js;THROTTLE_DISCHARGE_COEFFICIENT;0.72;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Pertes de contraction et de turbulence au corps de papillon.;Calibration projet;68
IntakeManifold.js;MANIFOLD_WALL_TEMPERATURE;315;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Température équivalente des parois du collecteur. Elle maintient progressivement l'air proche de la température du compartiment moteur sans imposer instantanément sa température.;Calibration projet;77
IntakeManifold.js;MANIFOLD_HEAT_TRANSFER_TAU;0.50;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Constante de temps du retour thermique vers la paroi. Une valeur élevée limite l'influence thermique et conserve des transitoires doux.;Calibration projet;81
IntakeManifold.js;MIN_MANIFOLD_PRESSURE;1000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;87
IntakeManifold.js;MIN_CYLINDER_PRESSURE;1000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;88
IntakeManifold.js;MIN_TEMPERATURE;150;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;89
IntakeManifold.js;MAX_TEMPERATURE;2000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;90
IntakeManifold.js;MIN_GAS_MASS;1e-9;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;91
